Current Role,Gender,Top Skills,Current Salary,Experience,Next Role,Next Role Salary
Cloud Architect,Female,"SEO, PPC, Content Marketing",₹30 LPA,3-5 years,Security Architect,₹22 LPA
Cloud Architect,Non-Binary,"Java, Spring Boot, Microservices",₹5 LPA,6-8 years,Investment Banker,₹8 LPA
Cloud Architect,Male,"Java, Spring Boot, Microservices",₹12 LPA,6-8 years,Security Architect,₹15 LPA
Game Developer,Male,"Java, Spring Boot, Microservices",₹7 LPA,9-12 years,Senior Software Engineer,₹35 LPA
Web Developer,Male,"Finance, Risk Analysis",₹10 LPA,6-8 years,ML Research Lead,₹12 LPA
Software Developer,Female,"SEO, PPC, Content Marketing",₹10 LPA,9-12 years,ML Research Lead,₹28 LPA
Cybersecurity Engineer,Male,"Recruitment, Payroll Management",₹10 LPA,6-8 years,HR Director,₹12 LPA
Cybersecurity Engineer,Non-Binary,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,3-5 years,AI Research Scientist,₹28 LPA
Cybersecurity Engineer,Male,"AWS, Docker, Kubernetes",₹15 LPA,9-12 years,Digital Marketing Manager,₹8 LPA
Software Developer,Female,"Python, SQL, Machine Learning",₹15 LPA,3-5 years,ML Research Lead,₹15 LPA
Marketing Executive,Female,"Recruitment, Payroll Management",₹10 LPA,12+ years,Site Reliability Engineer,₹22 LPA
Network Engineer,Male,"Data Science, Deep Learning, TensorFlow",₹7 LPA,9-12 years,AI Research Scientist,₹15 LPA
Web Developer,Non-Binary,"AWS, Docker, Kubernetes",₹15 LPA,12+ years,Investment Banker,₹22 LPA
Product Manager,Female,"Recruitment, Payroll Management",₹15 LPA,12+ years,Digital Marketing Manager,₹18 LPA
Cybersecurity Engineer,Male,"Python, SQL, Machine Learning",₹7 LPA,6-8 years,Security Architect,₹18 LPA
Software Developer,Male,"AWS, Docker, Kubernetes",₹10 LPA,6-8 years,Chief Cloud Officer,₹40 LPA
HR Specialist,Female,"SEO, PPC, Content Marketing",₹7 LPA,12+ years,Digital Marketing Manager,₹8 LPA
Cloud Architect,Non-Binary,"Recruitment, Payroll Management",₹7 LPA,6-8 years,Investment Banker,₹15 LPA
Game Developer,Male,"AWS, Docker, Kubernetes",₹20 LPA,6-8 years,Investment Banker,₹12 LPA
Cloud Architect,Male,"Cybersecurity, Ethical Hacking, Forensics",₹30 LPA,3-5 years,Digital Marketing Manager,₹15 LPA
Cloud Architect,Male,"SEO, PPC, Content Marketing",₹30 LPA,9-12 years,Lead Web Developer,₹8 LPA
HR Specialist,Male,"AWS, Docker, Kubernetes",₹20 LPA,3-5 years,ML Research Lead,₹35 LPA
HR Specialist,Non-Binary,"Java, Spring Boot, Microservices",₹12 LPA,12+ years,Data Scientist,₹12 LPA
Game Developer,Female,"Python, SQL, Machine Learning",₹12 LPA,0-2 years,Lead Web Developer,₹8 LPA
