Student ID,Name,Gender,Age,GPA,Major,Interested Domain,Projects,Internships,Certifications,Future Career,Python,SQL,Java,C++,JavaScript,Cloud,AI,Cybersecurity,Soft Skills,Work Experience (Years)
1,Student 1,Non-binary,32,2.53,Networking,Full Stack Development,7,2,None,Data Engineer,7,4,6,10,4,8,9,10,Strong,2
2,Student 2,Non-binary,24,3.16,Blockchain Technology,AI Research,4,5,None,Software Engineer,5,4,5,6,3,10,9,10,Average,5
3,Student 3,Non-binary,26,3.28,Networking,AI Research,2,3,None,Data Engineer,6,4,3,6,4,9,8,9,Weak,8
4,Student 4,Female,32,3.59,Bioinformatics,Cloud Security,6,2,TensorFlow Certified,Data Scientist,6,4,3,3,4,7,4,10,Strong,10
5,Student 5,Non-binary,19,3.94,Mobile App Development,Cyber Forensics,4,4,None,Security Consultant,6,3,3,6,4,8,10,3,Average,6
6,Student 6,Non-binary,43,3.42,Quantum Computing,Machine Learning,1,4,Google Android Developer,Software Engineer,6,9,10,7,3,9,9,9,Average,10
7,Student 7,Non-binary,35,3.0,Game Development,Data Visualization,2,0,Cisco CCNA,IoT Engineer,3,4,5,6,8,3,9,7,Weak,0
8,Student 8,Non-binary,25,3.67,Software Engineering,Full Stack Development,3,5,Red Hat Certified Engineer,IoT Engineer,4,3,4,9,5,3,9,10,Average,9
9,Student 9,Non-binary,24,3.21,Cloud Computing,Mobile App Development,7,0,IBM Quantum Developer,Game Developer,5,9,4,9,8,8,9,8,Average,8
10,Student 10,Non-binary,25,3.9,Web Development,Deep Learning,7,2,None,Penetration Tester,5,4,6,3,4,7,3,5,Weak,5
11,Student 11,Male,38,2.55,Web Development,Cloud Security,3,0,None,Full Stack Developer,3,7,3,6,5,10,5,10,Average,3
12,Student 12,Female,28,2.8,Mobile App Development,Machine Learning,7,5,None,Network Engineer,10,6,3,4,7,3,9,5,Weak,0
13,Student 13,Female,27,3.67,Web Development,Full Stack Development,1,3,IBM Quantum Developer,Data Engineer,3,9,7,9,4,8,8,5,Weak,2
14,Student 14,Female,23,2.5,Cybersecurity,Data Visualization,3,2,Unity Certified,Game Developer,10,9,3,10,10,7,5,3,Average,4
15,Student 15,Male,28,3.4,Bioinformatics,Full Stack Development,3,5,None,Cybersecurity Analyst,5,4,3,10,6,3,8,4,Strong,0
16,Student 16,Male,23,3.04,Cloud Computing,Cloud Security,1,3,Unity Certified,DevOps Engineer,3,10,3,4,7,10,4,6,Weak,2
17,Student 17,Female,33,2.5,Mobile App Development,Quantum AI,2,4,CEH,Data Engineer,3,4,4,9,10,5,4,3,Strong,2
18,Student 18,Non-binary,33,2.71,Human-Computer Interaction,Game Development,4,4,None,Data Engineer,7,6,8,3,10,8,4,3,Weak,0
19,Student 19,Non-binary,19,3.97,Bioinformatics,DevOps,6,3,TensorFlow Certified,Network Engineer,10,5,4,5,6,8,9,5,Average,2
20,Student 20,Non-binary,29,3.64,Data Science,Machine Learning,1,3,Microsoft Certified,Software Engineer,7,3,5,6,5,8,5,7,Weak,1
21,Student 21,Female,21,3.75,Quantum Computing,IoT Security,5,5,None,Network Engineer,4,7,6,7,6,6,10,10,Average,6
22,Student 22,Non-binary,20,2.61,AI & Robotics,Blockchain Security,5,1,AWS Certified,Penetration Tester,3,4,8,6,7,7,10,4,Strong,0
23,Student 23,Male,34,2.62,Quantum Computing,Data Visualization,2,5,None,Web Developer,4,5,4,6,6,5,5,8,Weak,1
24,Student 24,Male,41,3.93,Computer Science,Mobile App Development,6,2,IBM Quantum Developer,Data Engineer,3,6,8,6,7,9,6,3,Average,7
25,Student 25,Female,32,2.56,Software Engineering,Ethical Hacking,2,5,Meta Frontend Developer,Full Stack Developer,10,5,5,7,10,3,8,3,Average,7
26,Student 26,Non-binary,32,3.15,Embedded Systems,Quantum AI,1,1,Red Hat Certified Engineer,Cloud Architect,5,5,3,9,4,4,3,4,Average,0
27,Student 27,Male,45,2.84,Mobile App Development,Mobile App Development,3,4,Unity Certified,Web Developer,10,6,7,9,8,10,6,8,Weak,2
28,Student 28,Non-binary,45,3.97,Game Development,Blockchain Security,1,4,Google Android Developer,Game Developer,5,3,10,10,8,5,7,5,Weak,4
29,Student 29,Male,45,2.72,Bioinformatics,Full Stack Development,3,4,TensorFlow Certified,AI Researcher,3,6,10,8,5,8,4,8,Weak,4
30,Student 30,Non-binary,25,3.41,Mobile App Development,Cloud Security,6,1,Meta Frontend Developer,Penetration Tester,4,8,10,5,8,5,6,8,Weak,6
31,Student 31,Female,44,3.72,Web Development,Quantum AI,6,5,TensorFlow Certified,Data Scientist,3,3,5,9,4,3,3,8,Strong,0
32,Student 32,Non-binary,45,2.79,Embedded Systems,Full Stack Development,4,4,Meta Frontend Developer,Full Stack Developer,6,3,7,4,8,6,9,6,Strong,4
33,Student 33,Non-binary,31,3.25,Software Engineering,Quantum AI,2,4,Microsoft Certified,Penetration Tester,5,3,5,5,10,4,9,8,Average,4
34,Student 34,Non-binary,40,2.95,Human-Computer Interaction,DevOps,7,3,None,Mobile App Developer,9,6,3,6,7,7,6,6,Weak,3
35,Student 35,Female,33,3.3,Quantum Computing,Big Data,5,2,Microsoft Certified,Machine Learning Engineer,10,8,9,4,8,6,4,7,Strong,5
36,Student 36,Non-binary,20,3.54,Networking,AI Research,3,3,None,Machine Learning Engineer,4,6,5,8,7,8,10,8,Average,5
37,Student 37,Male,29,3.71,Cloud Computing,Full Stack Development,6,3,IBM Quantum Developer,IoT Engineer,10,5,3,3,3,3,7,9,Weak,9
38,Student 38,Male,36,3.63,Game Development,Machine Learning,1,1,TensorFlow Certified,Data Scientist,4,5,8,5,5,3,9,5,Strong,0
39,Student 39,Female,43,2.99,Game Development,AI Research,6,2,None,Cloud Architect,9,3,6,8,4,10,3,4,Strong,6
40,Student 40,Female,32,2.88,Embedded Systems,Cyber Forensics,6,0,Google Android Developer,Quantum Computing Researcher,10,8,6,7,4,9,9,4,Weak,5
41,Student 41,Female,37,2.79,Software Engineering,Ethical Hacking,7,5,AWS Certified,Mobile App Developer,3,6,4,7,9,4,10,10,Strong,7
42,Student 42,Male,40,2.5,Human-Computer Interaction,Cloud Security,4,0,IBM Quantum Developer,DevOps Engineer,3,4,7,8,5,9,3,9,Weak,7
43,Student 43,Male,38,3.51,AI & Robotics,Deep Learning,1,0,Google Android Developer,Security Consultant,8,3,6,6,6,5,10,10,Weak,9
44,Student 44,Female,20,3.87,Computer Science,Data Visualization,7,2,Google Data Analytics,Full Stack Developer,9,5,3,4,10,6,4,7,Weak,0
45,Student 45,Female,18,3.12,Human-Computer Interaction,Cloud Security,3,2,Red Hat Certified Engineer,Quantum Computing Researcher,3,8,4,3,5,8,4,9,Average,0
46,Student 46,Male,33,2.61,Mobile App Development,Ethical Hacking,1,2,Kubernetes Administrator,Game Developer,9,8,9,7,5,3,7,4,Average,8
47,Student 47,Male,28,3.84,Web Development,Cyber Forensics,3,4,MIT AI Certification,Blockchain Developer,3,4,3,3,3,8,3,6,Strong,0
48,Student 48,Non-binary,31,2.73,Blockchain Technology,Ethical Hacking,1,2,CEH,Game Developer,3,5,9,8,5,10,9,7,Average,0
49,Student 49,Non-binary,42,3.47,Quantum Computing,Big Data,6,0,IBM Quantum Developer,Blockchain Developer,8,4,10,4,4,9,9,7,Average,9
50,Student 50,Female,32,2.5,Bioinformatics,Blockchain Security,4,3,None,DevOps Engineer,6,8,7,8,5,10,8,6,Weak,5
51,Student 51,Non-binary,42,3.11,Embedded Systems,Ethical Hacking,1,2,Red Hat Certified Engineer,Data Scientist,4,10,7,3,9,9,7,10,Average,3
52,Student 52,Non-binary,35,3.72,Networking,Machine Learning,4,0,AWS Certified,Game Developer,6,9,4,5,5,5,10,8,Strong,0
53,Student 53,Non-binary,42,3.06,Data Science,Big Data,2,2,AWS Certified,Mobile App Developer,4,6,9,3,7,6,8,8,Average,5
54,Student 54,Male,41,3.85,AI & Robotics,Cloud Security,5,3,Cisco CCNA,Cloud Architect,3,3,5,5,9,6,7,8,Strong,1
55,Student 55,Non-binary,45,3.47,Game Development,Cloud Security,4,5,Microsoft Certified,Quantum Computing Researcher,5,9,8,10,4,6,10,9,Weak,3
56,Student 56,Female,23,3.1,Web Development,AI Research,7,0,None,Data Scientist,7,6,6,6,5,4,8,3,Average,1
57,Student 57,Female,24,3.79,Software Engineering,Deep Learning,7,4,None,Full Stack Developer,3,4,3,9,4,5,3,5,Weak,8
58,Student 58,Male,28,2.59,Blockchain Technology,Game Development,4,4,Cisco CCNA,Web Developer,9,3,6,5,4,10,3,6,Weak,5
59,Student 59,Male,34,3.17,Blockchain Technology,Mobile App Development,4,1,Google Data Analytics,Cloud Architect,10,10,4,7,3,5,5,8,Average,2
60,Student 60,Male,24,3.57,Software Engineering,Machine Learning,3,0,Google Android Developer,Security Consultant,4,8,4,8,6,5,4,6,Weak,0
61,Student 61,Male,36,2.74,Game Development,Blockchain Security,3,5,None,Web Developer,9,3,8,4,8,10,4,5,Strong,6
62,Student 62,Male,36,3.13,Computer Science,IoT Security,6,5,Red Hat Certified Engineer,Network Engineer,3,4,8,7,3,6,7,3,Strong,5
63,Student 63,Female,18,2.6,AI & Robotics,Cyber Forensics,6,3,Kubernetes Administrator,Blockchain Developer,6,8,10,4,3,4,3,4,Average,1
64,Student 64,Non-binary,34,3.71,Software Engineering,Machine Learning,3,4,Google Android Developer,Data Scientist,6,7,3,3,5,5,10,3,Weak,5
65,Student 65,Male,31,3.6,Quantum Computing,Deep Learning,1,5,CEH,Penetration Tester,7,8,6,7,3,7,5,5,Average,9
66,Student 66,Female,29,2.82,Web Development,Mobile App Development,6,0,Cisco CCNA,Game Developer,3,4,5,10,10,7,8,8,Strong,9
67,Student 67,Male,43,3.89,Web Development,Quantum AI,5,3,MIT AI Certification,Security Consultant,4,5,9,9,3,4,9,9,Strong,3
68,Student 68,Female,22,3.79,Cloud Computing,Quantum AI,6,3,CEH,Game Developer,6,10,10,6,9,3,8,3,Strong,8
69,Student 69,Male,28,2.56,Human-Computer Interaction,IoT Security,6,5,Red Hat Certified Engineer,AI Researcher,4,3,6,8,6,10,10,5,Strong,9
70,Student 70,Male,20,3.76,Quantum Computing,Cloud Security,6,1,Meta Frontend Developer,Mobile App Developer,3,6,7,9,8,3,10,3,Weak,9
71,Student 71,Female,26,3.58,Computer Science,Full Stack Development,2,0,Google Android Developer,AI Researcher,4,8,5,3,4,10,10,10,Weak,2
